Screen Name;Text
meganismrsspaz;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
mandywarhol;RT @warriors_mom: Dominion Voting Systems Retains Obama 'Vote Protection Director' As Lobbyist
LotsoforHK;RT @therealADWarren: Where it truly stands right now. 
AToulmonde;We're NOT going to Disney World
abc4utah;RT @AP_Politics: BREAKING: Donald Trump wins North Carolina. #APracecall at 3:48 p.m. EST. #Election2020 https://t.co/lGfinjTqT4
HooMacon;RT @PopVoteProject: Trump thought he'd win Georgia. Whoops. 
valwayne;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
Kings58583491;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
Dry_Observer;RT @BBCWorld: Donald Trump makes reference to #Election2020 result while speaking publicly for first time since Joe Biden's projected win…
MagnoliaPrince5;RT @warriors_mom: Dominion Voting Systems Retains Obama 'Vote Protection Director' As Lobbyist
ArlynHaaland;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
kersey_maureen;"#NEW: @EACgov chair &amp; #Trump-appointee to ask Congress to fund a ""one stop shop"
1776Libertarian;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
CryptoViewing;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
BenWinslow;RT @SenTedCruz: This election will be decided when every legally cast ballot is counted. #Election2020 https://t.co/rsiWfgaROE
CertifiedPK;#Georgia take note #Election2020 https://t.co/ZroR54D670
HamlettCaleb73;RT @HamlettCaleb73: Check out this new episode of “The Podcast to Listen to” on YouTube or check us out on the Audio version on Apple Podca…
TankesmedjanX7;@JoeBiden received 306 electoral votes over @realDonaldTrump 
dan_martn;#Trump #Trump2020 #TrumpTroopers #TrumpTrain #ElectionLoser #Election2020 #MockTheRight #ResistingHate #ANTIFA- Fac… https://t.co/2YmmcRnB2M
GOP_USA5;RT @SenTedCruz: The American people expect accurate election results. We need to follow the law and allow the legal process to play out. #E…
DavidGe11188955;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
FairGoM8;RT @PCtoListento: New episode! Click the link in our bio for more. Like
margie14322442;RT @BBCWorld: Donald Trump makes reference to #Election2020 result while speaking publicly for first time since Joe Biden's projected win…
snidekick;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
CesarMarty85;RT @BobCoogan: Every state has been called in the 2020 presidential election... 
akuzitan1;RT @djchrisallen: Sock puppets are more well-spoken than the current administration. Says a lot. 😂 #Election2020 #ChooseDemocracy
LukeDyer1997;RT @PSYCHICTWINS: CNN calls Arizona for Biden. #2020Predictions #election2020 https://t.co/hO88dXCmdV
ChronoLuminaire;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
annhit2020;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
therealpattip20;RT @HamlettCaleb73: Check out this new episode of “The Podcast to Listen to” on YouTube or check us out on the Audio version on Apple Podca…
joshual1980;RT @BBCWorld: Ten days after #Election2020
madrynha2012;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
cilledwithakiss;RT @SenTedCruz: This election will be decided when every legally cast ballot is counted. #Election2020 https://t.co/rsiWfgaROE
Nettoss;RT @ACLEDINFO: At least 75 demonstration events associated with the #StopTheSteaI movement — which promotes unfounded allegations of mass v…
EllisMiellis;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
ayawill;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
cricket_truth;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
OblanderGroup;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
Vickey72196268;RT @alexcoheninla: A lot happened during #election2020 that has huge impacts for SoCal. Thrilled to break it down with ⁦@thelapod⁩ hosts ⁦@…
SystemsXotic;RT @BBCWorld: Ten days after #Election2020
Trumper60869477;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
Ameg24;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
BotShmot;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
KingdomRising1;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
ReneaBae90;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
ChowaPt;Why is Rep Gohmer talking this?
Karan52605911;RT @Rizzuti09: Mood all day long. WE DID IT. WE BEAT A SITTING PRESIDENT. OMG  #306 #Election2020 #ElectionResults2020 #JoeBiden #46 #Presi…
EibbedNosredna;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
_leebret;RT @BBCWorld: Ten days after #Election2020
yojanuary;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
dlgalvezdcm;@JvittalTV For some unknown reason
44ICE;RT @SenTedCruz: This election will be decided when every legally cast ballot is counted. #Election2020 https://t.co/rsiWfgaROE
11SBiase;"@realDonaldTrump You're the biggest loser cry baby of all the Presidents. 

#Election2020 
#Election2020results,FALSE,0,NA,2020-11-14 00:25:26,FALSE,NA,1327407256401555457"""
JJBurnam;RT @AP_Politics: BREAKING: Donald Trump wins North Carolina. #APracecall at 3:48 p.m. EST. #Election2020 https://t.co/lGfinjTqT4
BigDonTee;RT @BeingLGBTQPod: This is a thing of beauty 👇
paularadell;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
DianeRaine1;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
risenranger;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
NanHayworth;RT @BSpodNetwork: 251 isn't just a number
PunkiBrenda;251 isn't just a number
tonetafoya;RT @djchrisallen: Sock puppets are more well-spoken than the current administration. Says a lot. 😂 #Election2020 #ChooseDemocracy
scottfeee1776;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
solidreturns;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
SunnyG07947561;RT @GlenMillsABC4: Update- Following today’s release from Salt Lake County @BurgessOwens builds on his lead over @RepBenMcAdams in the race…
gavinlmiller1;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
Rosenchild;RT @GettyImagesNews: As media announced #JoeBiden would be the president elect
2003815u_kazu;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
Rosenchild;RT @OurRevolution: Congratulations to @Eric4LakeCounty for being elected as Lake County
JamesOinkygc;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
_Presdent_Elect;RT @BBCJonSopel: If you like symmetry
overmanwarrior;Arizona keep finding those votes - great work by 
GlenMillsABC4;RT @singularityblog: Federal #cybersecurity agency calls election 'most secure in American history': Despite baseless claims spread by the…
RobHalkides;RT @trish_regan: Breaking: 
valwayne;RT @BillHagertyTN: We will not give up on the integrity of the #Election2020. We must continue to ensure that every legally cast vote is co…
Vickey72196268;#Election2020 
HolsonbackRobin;GEORGIA IS CHANGING.
indisbelief2020;RT @MrErnestOwens: TO BE VERY CLEAR: While we can all tease Trump about the ghost of John McCain hunting his loss in Arizona -- let's also…
MeedgeKnowsBest;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
PatriciaSerdahl;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
eigenbros;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
mariadacunha18;🚣‍♀️ To The Life Boats - An Atomic Bomb was Just Dropped on This Election https://t.co/756de2ZM3w via @YouTube… https://t.co/DVKCScq5r3
RemmingtonSig;RT @trish_regan: Breaking: 
alex_west1994;RT @Ike_Saul: Alright
GigiCar45632112;JUST IN: @VoteSLCo posted more ballots. @BurgessOwens continues his lead over @BenMcAdams in #UT4. @fox13 #utpol… https://t.co/zIxYeGL8yM
Sambandet;RT @DrJasonJohnson: When you win
ThisWooly;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
ervster1;Check out this new episode of “The Podcast to Listen to” on YouTube or check us out on the Audio version on Apple P… https://t.co/JSPTEbEmDK
albertobmas;RT @SenTedCruz: This election will be decided when every legally cast ballot is counted. #Election2020 https://t.co/rsiWfgaROE
Idaho_Hopeful;RT @BryanRAnderson: #BREAKING: President Donald Trump wins North Carolina
walkerglewis;RT @RightWingWatch: Life comes at you hard. By @zidansports #Election2020 https://t.co/IXqE6dgj7Y
warriors_mom;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
zest674;RT @SenTedCruz: This election will be decided when every legally cast ballot is counted. #Election2020 https://t.co/rsiWfgaROE
Rose_Wilbur;RT @donnasfineart: #FridayVibes 
dlh0404;Feel the strength of us women behind you. We support you.#Election2020 | Nov 13
Diego24x;LOUISIANA | Your runoff election is December 5
AnfernyHardawa1;The media can offer balloting stats as they are counted
spenumatsa;RT @mcwattsup: I was watching this scene tonight and I just... I couldn't resist #Election2020 https://t.co/LGtxhQSbYl
jamiearrington;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
Kishidancho2;RT @Michael03272961: #ICYMI: Top Election Chief of #Milwaukee
hayesdavenport;RT @deAdder: I drew this thinking of Georgia and Arizona. #Election2020 #TrumpIsLosing #TrumpMeltdown https://t.co/5zBKjyDHwk
foxtrotfenris;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
